id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_verifications_phone,host_verifications_offline_government_id,host_verifications_identity_manual,host_verifications_reviews,host_verifications_email,host_verifications_selfie,host_verifications_jumio,host_verifications_government_id,amenities_Coffee_maker,amenities_Free_street_parking,amenities_Extra_pillows_and_blankets,amenities_Washer,amenities_Shampoo,amenities_Dryer,amenities_Hot_water,amenities_Kitchen,amenities_Carbon_monoxide_alarm,amenities_Air_conditioning,amenities_Dedicated_workspace,amenities_Wifi,amenities_First_aid_kit,amenities_Microwave,amenities_Bathtub,amenities_TV,amenities_Essentials,amenities_Free_parking_on_premises,amenities_Cooking_basics,amenities_Private_entrance,amenities_Hair_dryer,amenities_Oven,amenities_Dishes_and_silverware,amenities_Smoke_alarm,amenities_Refrigerator,amenities_Iron,amenities_Heating,amenities_Long_term_stays_allowed,amenities_Bed_linens,amenities_Stove,amenities_Dishwasher,amenities_Hangers,amenities_Fire_extinguisher,bathrooms_type,distance_to_CBD,host_in_same_neighbourhood,host_year,description_words_count,occu_rate_oct,occu_rate_nov,occu_rate_dec,occu_rate_jan,occu_rate_feb,occu_rate_mar,occu_rate_apr,occu_rate_may,occu_rate_jun,occu_rate_jul,occu_rate_aug,occu_rate_sep,Q1,Q2,Q3,Q4
2384,2613,within an hour,1,0.83,0,1,0,Hyde Park,Private room in condominium (condo),Private room,1,1,1,1,81,3,30,3,3,1125,1125,3,1125,0,19,40,55,329,2021/10/19,190,10,2,30_days,4.99,4.98,4.99,4.98,4.98,4.95,4.94,1,1,0,1,0,2.41,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,shared,10.3476,1,13,1000,0.290322581,0.4,0.419354839,0.064516129,0,0,0,0,0,0,0,0,0.369892473,0.021505376,0,0
7126,17928,None,0,0,0,2,0,West Town,Entire rental unit,Entire home/apt,2,1,1,1,65,2,60,2,2,1125,1125,2,1125,0,5,22,48,230,2021/10/18,414,29,6,30_days,4.66,4.83,4.53,4.89,4.86,4.87,4.72,1,1,1,0,0,3.34,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,private,3.8288,0,12,1000,0.451612903,0.633333333,0.290322581,0,0,0.096774194,0.066666667,1,1,0.870967742,0,0,0.458422939,0.032258065,0.688888889,0.290322581
10945,33004,within an hour,0.94,0.92,0,7,0,Lincoln Park,Entire rental unit,Entire home/apt,4,1,2,2,125,4,180,4,4,180,180,4,180,0,12,33,54,144,2021/10/18,36,16,3,30_days,4.58,4.67,4.72,4.75,4.72,4.97,4.56,1,7,7,0,0,0.4,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,private,3.8049,0,12,1000,0.870967742,0.566666667,0.258064516,0.032258065,0,0,0.5,1,1,1,1,1,0.565232975,0.010752688,0.833333333,1
12068,40731,within an hour,1,0.93,0,3,0,Near North Side,Entire condominium (condo),Entire home/apt,2,1,1,1,99,7,180,7,7,180,180,7,180,0,0,0,0,0,2021/10/19,13,4,1,30_days,4.75,4.75,4.75,4.67,4.75,4.75,4.75,1,1,1,0,0,0.16,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,private,2.9839,0,12,1000,0.4375,0.933333333,0,0,0,0,0,0,0,0,0,0,0.456944444,0,0,0
12140,46734,within an hour,1,1,0,1,0,Lincoln Park,Room in boutique hotel,Private room,2,1,1,2,329,2,7,2,2,7,7,2,7,0,20,48,78,167,2021/10/19,7,3,0,30_days,5,5,5,5,5,5,5,1,1,0,1,0,0.09,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,private,5.1676,1,12,1000,0.741935484,0.233333333,0,0,0,0,0.5,1,1,1,1,1,0.325089606,0,0.833333333,1
22362,85811,None,0,0,0,2,0,West Town,Entire rental unit,Entire home/apt,4,1,2,2,105,121,1125,121,121,1125,1125,121,1125,0,30,60,90,365,2021/10/18,9,0,0,30_days,4.67,4.78,4.78,5,5,4.89,4.89,1,2,2,0,0,0.1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,private,2.6785,0,11,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24833,101521,within a few hours,1,0.81,0,8,0,Lincoln Park,Entire rental unit,Entire home/apt,3,1,1,1,133,32,395,32,50,395,395,32.2,395,0,29,59,89,364,2021/10/18,38,1,0,30_days,4.22,4,3.92,4.12,3.88,4.88,4.12,1,4,4,0,0,0.33,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,private,5.513,1,11,1000,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0.010752688,0,0,0
25879,101521,within a few hours,1,0.81,0,8,0,Lincoln Park,Entire rental unit,Entire home/apt,6,1,2,0,95,32,300,32,32,1125,1125,32,1125,0,0,0,26,301,2021/10/19,48,1,1,30_days,4.35,4.59,4.32,4.14,4.17,4.91,4.38,1,4,4,0,0,1.42,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,private,5.4001,1,11,1000,0.419354839,1,0.677419355,0,0,0,0,0,0,0,0,0,0.698924731,0,0,0
28749,27506,within a day,1,0.72,0,3,0,Logan Square,Entire loft,Entire home/apt,6,1,3,3,179,2,10,2,2,10,10,2,10,0,14,36,64,322,2021/10/18,115,54,5,30_days,4.73,4.81,4.69,4.88,4.85,4.87,4.66,1,1,1,0,0,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,private,5.5149,0,12,1000,0.903225806,0.433333333,0.032258065,0.032258065,0,0,0,0,0,0,0,0,0.456272401,0.010752688,0,0
37738,162364,None,0,0,0,2,0,Uptown,Private room in residential home,Private room,2,1,1,1,110,3,1125,3,3,1125,1125,3,1125,0,0,0,15,105,2021/10/18,250,0,0,30_days,4.99,4.99,5,4.99,4.98,4.92,4.98,1,2,1,1,0,2.01,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,shared,10.7172,0,11,1000,1,1,1,0,0,0,0.5,1,1,1,1,1,1,0,0.833333333,1
